system,user,assistant
You are a disaster relief logistics analyst for ReliefLink Kolkata.,Generate 2 batches of synthetic disaster relief data for North and South 24 Parganas zones.,"[{""title"":""Critical medical aid required at Barasat residential area"",""category"":""medical"",""peopleAffected"":85,""severityLevel"":5,""resourceScarcity"":4,""hoursWaiting"":12,""latitude"":22.4206,""longitude"":88.4839,""status"":""open""},{""title"":""Flash flood relief needed at Tollygunge colony"",""category"":""rescue"",""peopleAffected"":25,""severityLevel"":5,""resourceScarcity"":3,""hoursWaiting"":2,""latitude"":22.4815,""longitude"":88.3508,""status"":""open""},{""title"":""Mass food requirement at Basirhat periphery"",""category"":""food"",""peopleAffected"":420,""severityLevel"":3,""resourceScarcity"":5,""hoursWaiting"":36,""latitude"":22.3927,""longitude"":88.8953,""status"":""open""},{""title"":""Drinking water distribution in Ballygunge sector"",""category"":""water"",""peopleAffected"":150,""severityLevel"":2,""resourceScarcity"":2,""hoursWaiting"":48,""latitude"":22.5298,""longitude"":88.3582,""status"":""open""},{""title"":""Temporary shelter for storm victims at Sonarpur"",""category"":""shelter"",""peopleAffected"":110,""severityLevel"":4,""resourceScarcity"":4,""hoursWaiting"":20,""latitude"":22.4278,""longitude"":88.4285,""status"":""open""},{""name"":""Subir Sen"",""skills"":""medical"",""availability"":""anytime"",""latitude"":22.4109,""longitude"":88.4731},{""name"":""Mitali Ghosh"",""skills"":""rescue"",""availability"":""weekend"",""latitude"":22.5034,""longitude"":88.3298},{""name"":""Debojit Nandi"",""skills"":""coordination"",""availability"":""weekday"",""latitude"":22.5539,""longitude"":88.4410},{""name"":""Anamika Roy"",""skills"":""food distribution"",""availability"":""anytime"",""latitude"":22.4592,""longitude"":88.3756},{""name"":""Vikram Singh"",""skills"":""logistics"",""availability"":""weekend"",""latitude"":22.4299,""longitude"":88.4901}]"
You are a disaster-relief NGO data specialist for the ReliefLink Kolkata regional hub.,Generate a diverse set of 150 entries including community needs and volunteer profiles for Kolkata.,"[{""title"": ""Severe Food Shortage at Beleghata Slum"", ""category"": ""food"", ""peopleAffected"": 150, ""severityLevel"": 4, ""resourceScarcity"": 5, ""hoursWaiting"": 18, ""latitude"": 22.5645, ""longitude"": 88.3976, ""status"": ""open""}, {""title"": ""Clean Water required in Barrackpore"", ""category"": ""water"", ""peopleAffected"": 450, ""severityLevel"": 3, ""resourceScarcity"": 4, ""hoursWaiting"": 36, ""latitude"": 22.755, ""longitude"": 88.3697, ""status"": ""open""}, {""title"": ""Emergency Medical Aid Needed near New Town"", ""category"": ""medical"", ""peopleAffected"": 60, ""severityLevel"": 5, ""resourceScarcity"": 3, ""hoursWaiting"": 5, ""latitude"": 22.5746, ""longitude"": 88.4552, ""status"": ""open""}, {""title"": ""Resue operations required in North Kolkata"", ""category"": ""rescue"", ""peopleAffected"": 25, ""severityLevel"": 5, ""resourceScarcity"": 5, ""hoursWaiting"": 2, ""latitude"": 22.6109, ""longitude"": 88.3636, ""status"": ""open""}, {""title"": ""Temp shelter needed near Ruby Hospital"", ""category"": ""shelter"", ""peopleAffected"": 300, ""severityLevel"": 4, ""resourceScarcity"": 4, ""hoursWaiting"": 24, ""latitude"": 22.5029, ""longitude"": 88.3974, ""status"": ""open""}, {""name"": ""Anik Das"", ""skills"": ""medical"", ""availability"": ""anytime"", ""latitude"": 22.5726, ""longitude"": 88.3639}, {""name"": ""Sunita Sen"", ""skills"": ""logistics"", ""availability"": ""weekday"", ""latitude"": 22.55, ""longitude"": 88.34}, {""name"": ""Karthik Varma"", ""skills"": ""rescue"", ""availability"": ""weekend"", ""latitude"": 22.45, ""longitude"": 88.32}]"
You are ReliefLink data processing.,Generate 100 community needs and 50 volunteer profiles for Kolkata.,"[{""title"":""Acute Food Shortage in Ballygunge"",""category"":""food"",""peopleAffected"":85,""severityLevel"":3,""resourceScarcity"":2,""hoursWaiting"":5,""latitude"":22.5276,""longitude"":88.3582,""status"":""open""},{""title"":""Trapped Residents near EM Bypass"",""category"":""rescue"",""peopleAffected"":22,""severityLevel"":5,""resourceScarcity"":4,""hoursWaiting"":2,""latitude"":22.5186,""longitude"":88.3965,""status"":""open""},{""title"":""Drinking Water Tanker Request Tollygunge"",""category"":""water"",""peopleAffected"":450,""severityLevel"":4,""resourceScarcity"":5,""hoursWaiting"":30,""latitude"":22.4939,""longitude"":88.3524,""status"":""open""},{""title"":""Field Hospital Required Baguiati"",""category"":""medical"",""peopleAffected"":110,""severityLevel"":5,""resourceScarcity"":3,""hoursWaiting"":8,""latitude"":22.6105,""longitude"":88.4231,""status"":""open""},{""title"":""Emergency Night Shelter Kasba"",""category"":""shelter"",""peopleAffected"":180,""severityLevel"":3,""resourceScarcity"":2,""hoursWaiting"":45,""latitude"":22.5103,""longitude"":88.3960,""status"":""open""},{""name"":""Suman Ghosh"",""skills"":""rescue"",""availability"":""anytime"",""latitude"":22.5831,""longitude"":88.3587},{""name"":""Rita Majumder"",""skills"":""medical"",""availability"":""weekday"",""latitude"":22.4705,""longitude"":88.3565},{""name"":""Kunal Sengupta"",""skills"":""coordination"",""availability"":""weekend"",""latitude"":22.5930,""longitude"":88.4111}]"
You are a ReliefLink data ingest engine for urban disaster recovery in Kolkata.,Generate 40 sets of needs and volunteers.,"[{""title"":""Flood Relief for slum area near New Town"",""category"":""rescue"",""peopleAffected"":140,""severityLevel"":5,""resourceScarcity"":4,""hoursWaiting"":6,""latitude"":22.5855,""longitude"":88.4552,""status"":""open""},{""title"":""Drinking Water Tanker Required - North Dumdum"",""category"":""water"",""peopleAffected"":250,""severityLevel"":3,""resourceScarcity"":4,""hoursWaiting"":22,""latitude"":22.656,""longitude"":88.423},{""title"":""Medical aid requested for elders in Tollygunge"",""category"":""medical"",""peopleAffected"":35,""severityLevel"":4,""resourceScarcity"":3,""hoursWaiting"":10,""latitude"":22.4932,""longitude"":88.3495,""status"":""open""},{""title"":""Temporary roof setup required - Baguiati"",""category"":""shelter"",""peopleAffected"":60,""severityLevel"":3,""resourceScarcity"":3,""hoursWaiting"":18,""latitude"":22.624,""longitude"":88.428},{""title"":""Food shortage reported by 85 households - Belgharia"",""category"":""food"",""peopleAffected"":425,""severityLevel"":4,""resourceScarcity"":5,""hoursWaiting"":14,""latitude"":22.671,""longitude"":88.374},{""name"":""Suresh Paul"",""skills"":""medical"",""availability"":""anytime"",""latitude"":22.64,""longitude"":88.38},{""name"":""Mina Devi"",""skills"":""food distribution"",""availability"":""weekend"",""latitude"":22.58,""longitude"":88.42},{""name"":""Vikram Seth"",""skills"":""logistics"",""availability"":""weekday"",""latitude"":22.5,""longitude"":88.33},{""name"":""Anjali Bose"",""skills"":""rescue"",""availability"":""anytime"",""latitude"":22.55,""longitude"":88.37},{""name"":""Rahul Sen"",""skills"":""coordination"",""availability"":""weekend"",""latitude"":22.62,""longitude"":88.44},{""title"":""Medical supply depot exhaustion - Barrackpore"",""category"":""medical"",""peopleAffected"":180,""severityLevel"":5,""resourceScarcity"":5,""hoursWaiting"":5,""latitude"":22.753,""longitude"":88.368,""status"":""open""},{""title"":""Water logging crisis in Kasba"",""category"":""rescue"",""peopleAffected"":300,""severityLevel"":4,""resourceScarcity"":3,""hoursWaiting"":8,""latitude"":22.515,""longitude"":88.397,""status"":""open""},{""title"":""Dry ration needed for residents - Khardah"",""category"":""food"",""peopleAffected"":110,""severityLevel"":2,""resourceScarcity"":3,""hoursWaiting"":36,""latitude"":22.723,""longitude"":88.375,""status"":""open""},{""title"":""Mobile toilet facility needed - Kamarhati"",""category"":""shelter"",""peopleAffected"":210,""severityLevel"":3,""resourceScarcity"":4,""hoursWaiting"":24,""latitude"":22.674,""longitude"":88.366,""status"":""open""},{""title"":""Emergency Insulin supplies needed - Barasat"",""category"":""medical"",""peopleAffected"":12,""severityLevel"":5,""resourceScarcity"":4,""hoursWaiting"":2,""latitude"":22.684,""longitude"":88.481,""status"":""open""},{""name"":""Sandeep Kumar"",""skills"":""medical"",""availability"":""weekday"",""latitude"":22.69,""longitude"":88.49},{""name"":""Neha Chatterjee"",""skills"":""coordination"",""availability"":""anytime"",""latitude"":22.68,""longitude"":88.45},{""name"":""Kabir Khan"",""skills"":""logistics"",""availability"":""weekend"",""latitude"":22.67,""longitude"":88.38},{""name"":""Rina Shaw"",""skills"":""food distribution"",""availability"":""weekday"",""latitude"":22.72,""longitude"":88.38},{""name"":""Aditi Rao"",""skills"":""rescue"",""availability"":""anytime"",""latitude"":22.67,""longitude"":88.36},{""title"":""Flash flood relief needed at Sodepur station"",""category"":""rescue"",""peopleAffected"":90,""severityLevel"":4,""resourceScarcity"":2,""hoursWaiting"":4,""latitude"":22.691,""longitude"":88.378,""status"":""open""},{""title"":""Severe malnutrition threat - Sonarpur"",""category"":""food"",""peopleAffected"":400,""severityLevel"":5,""resourceScarcity"":5,""hoursWaiting"":40,""latitude"":22.428,""longitude"":88.435,""status"":""open""},{""title"":""Storm damaged roof aid - Madhyamgram"",""category"":""shelter"",""peopleAffected"":45,""severityLevel"":3,""resourceScarcity"":3,""hoursWaiting"":30,""latitude"":22.709,""longitude"":88.448,""status"":""open""},{""title"":""Diarrhea outbreak - purified water needed - Kalyani"",""category"":""water"",""peopleAffected"":320,""severityLevel"":5,""resourceScarcity"":4,""hoursWaiting"":8,""latitude"":22.975,""longitude"":88.435,""status"":""open""},{""title"":""Flood aid station replenishment - Barisha"",""category"":""food"",""peopleAffected"":250,""severityLevel"":3,""resourceScarcity"":3,""hoursWaiting"":12,""latitude"":22.479,""longitude"":88.318,""status"":""open""},{""name"":""Vijay Nair"",""skills"":""medical"",""availability"":""weekend"",""latitude"":22.48,""longitude"":88.32},{""name"":""Komal Das"",""skills"":""rescue"",""availability"":""anytime"",""latitude"":22.49,""longitude"":88.35},{""name"":""Pritam Ghosh"",""skills"":""logistics"",""availability"":""weekday"",""latitude"":22.71,""longitude"":88.45},{""name"":""Sunil Mishra"",""skills"":""food distribution"",""availability"":""anytime"",""latitude"":22.96,""longitude"":88.44},{""name"":""Farhan Qureshi"",""skills"":""coordination"",""availability"":""weekend"",""latitude"":22.43,""longitude"":88.44},{""title"":""Oxygen cylinders required in Jadavpur"",""category"":""medical"",""peopleAffected"":25,""severityLevel"":5,""resourceScarcity"":5,""hoursWaiting"":3,""latitude"":22.481,""longitude"":88.375,""status"":""open""},{""title"":""Temporary shelter capacity hit in Tangra"",""category"":""shelter"",""peopleAffected"":480,""severityLevel"":4,""resourceScarcity"":4,""hoursWaiting"":20,""latitude"":22.553,""longitude"":88.385,""status"":""open""},{""title"":""Blocked drainage resulting in water issues - Dum Dum"",""category"":""water"",""peopleAffected"":150,""severityLevel"":3,""resourceScarcity"":3,""hoursWaiting"":15,""latitude"":22.63,""longitude"":88.41},{""title"":""Stranded population after road blockage - Uluberia"",""category"":""rescue"",""peopleAffected"":120,""severityLevel"":4,""resourceScarcity"":3,""hoursWaiting"":5,""latitude"":22.47,""longitude"":88.11},{""title"":""Community kitchen supplies requested - Behala"",""category"":""food"",""peopleAffected"":200,""severityLevel"":3,""resourceScarcity"":3,""hoursWaiting"":22,""latitude"":22.48,""longitude"":88.31},{""name"":""Deepa Sanyal"",""skills"":""medical"",""availability"":""weekday"",""latitude"":22.47,""longitude"":88.11},{""name"":""Rajesh Gupta"",""skills"":""rescue"",""availability"":""anytime"",""latitude"":22.48,""longitude"":88.31},{""name"":""Samira Islam"",""skills"":""logistics"",""availability"":""weekend"",""latitude"":22.56,""longitude"":88.39},{""name"":""Tanmay Basu"",""skills"":""coordination"",""availability"":""weekday"",""latitude"":22.62,""longitude"":88.42},{""name"":""Megha Singhania"",""skills"":""food distribution"",""availability"":""anytime"",""latitude"":22.51,""longitude"":88.37}]"
ReliefLink coordination system active.,Create a batch of needs reports for southern Kolkata districts.,"[{""title"":""Water supply contamination in Tollygunge"",""category"":""water"",""peopleAffected"":150,""severityLevel"":4,""resourceScarcity"":5,""hoursWaiting"":24,""latitude"":22.4938,""longitude"":88.3512,""status"":""open""},{""title"":""Relocation shelter needed near Jadavpur University"",""category"":""shelter"",""peopleAffected"":75,""severityLevel"":3,""resourceScarcity"":2,""hoursWaiting"":10,""latitude"":22.4925,""longitude"":88.3752,""status"":""open""},{""name"":""Suman Gupta"",""skills"":""medical"",""availability"":""anytime"",""latitude"":22.4812,""longitude"":88.3551},{""name"":""Deepa Nair"",""skills"":""coordination"",""availability"":""weekend"",""latitude"":22.5022,""longitude"":88.3615}]"
ReliefLink database processor.,Generate volunteer profiles for North Kolkata logistics.,"[{""name"":""Vikram Singh"",""skills"":""logistics"",""availability"":""weekday"",""latitude"":22.6105,""longitude"":88.3976},{""name"":""Rina Mallick"",""skills"":""food distribution"",""availability"":""anytime"",""latitude"":22.6241,""longitude"":88.3702},{""name"":""Rahul Dey"",""skills"":""rescue"",""availability"":""weekend"",""latitude"":22.5901,""longitude"":88.3654}]"
ReliefLink data generator.,Need disaster reporting metrics for New Town urban zone.,"[{""title"":""Acute medical support for slum cluster Bidhannagar"",""category"":""medical"",""peopleAffected"":250,""severityLevel"":5,""resourceScarcity"":4,""hoursWaiting"":3,""latitude"":22.5746,""longitude"":88.4283,""status"":""open""},{""title"":""Lack of food distribution in New Town"",""category"":""food"",""peopleAffected"":300,""severityLevel"":2,""resourceScarcity"":3,""hoursWaiting"":48,""latitude"":22.5934,""longitude"":88.4552,""status"":""open""}]"
ReliefLink task orchestrator.,Create entries for rescue operation support.,"[{""title"":""Submerged roadways blocking rescue in Barrackpore"",""category"":""rescue"",""peopleAffected"":50,""severityLevel"":5,""resourceScarcity"":5,""hoursWaiting"":6,""latitude"":22.7551,""longitude"":88.3683,""status"":""open""},{""title"":""Immediate rescue requested in Serampore"",""category"":""rescue"",""peopleAffected"":90,""severityLevel"":5,""resourceScarcity"":5,""hoursWaiting"":2,""latitude"":22.7533,""longitude"":88.3374,""status"":""open""},{""name"":""Pritam Ghosh"",""skills"":""rescue"",""availability"":""anytime"",""latitude"":22.7601,""longitude"":88.3621}]"
ReliefLink ingestion layer.,Generate random relief request entries.,"[{""title"":""Emergency blanket distribution in Shyambazar"",""category"":""shelter"",""peopleAffected"":20,""severityLevel"":3,""resourceScarcity"":2,""hoursWaiting"":5,""latitude"":22.5948,""longitude"":88.3707,""status"":""open""},{""title"":""Infant milk requirements near Esplanade"",""category"":""food"",""peopleAffected"":15,""severityLevel"":4,""resourceScarcity"":4,""hoursWaiting"":8,""latitude"":22.5645,""longitude"":88.3512,""status"":""open""}]"
ReliefLink processing service.,Initialize 20 random disaster entries and volunteer assets.,"[{""title"":""General pantry stock depletion in Kestopur"",""category"":""food"",""peopleAffected"":500,""severityLevel"":3,""resourceScarcity"":4,""hoursWaiting"":72,""latitude"":22.5908,""longitude"":88.4357,""status"":""open""},{""name"":""Sita Das"",""skills"":""logistics"",""availability"":""weekend"",""latitude"":22.5855,""longitude"":88.4388},{""title"":""Emergency trauma kits requested in Baguiati"",""category"":""medical"",""peopleAffected"":110,""severityLevel"":4,""resourceScarcity"":2,""hoursWaiting"":4,""latitude"":22.6101,""longitude"":88.4332,""status"":""open""}]"
ReliefLink internal update agent.,Provide structured report data for local emergencies.,"[{""title"":""Flood management team coordination request"",""category"":""coordination"",""peopleAffected"":20,""severityLevel"":5,""resourceScarcity"":3,""hoursWaiting"":1,""latitude"":22.5458,""longitude"":88.3353,""status"":""open""},{""name"":""Anish Basu"",""skills"":""coordination"",""availability"":""anytime"",""latitude"":22.5350,""longitude"":88.3411}]"
ReliefLink input system.,Process incoming report from suburban belt.,"[{""title"":""Clean water shortage in Behala"",""category"":""water"",""peopleAffected"":210,""severityLevel"":4,""resourceScarcity"":4,""hoursWaiting"":36,""latitude"":22.4834,""longitude"":88.3188,""status"":""open""},{""name"":""Sunita Koley"",""skills"":""food distribution"",""availability"":""weekday"",""latitude"":22.4798,""longitude"":88.3105}]"
ReliefLink Coordinator Engine v2.1,Import dataset batch 001 for Kolkata relief management.,"[{""title"":""Flooded basements in Lake Town residential area"",""category"":""rescue"",""peopleAffected"":55,""severityLevel"":4,""resourceScarcity"":3,""hoursWaiting"":5,""latitude"":22.6105,""longitude"":88.4068,""status"":""open""},{""title"":""Infant formula and baby food shortage in Ballygunge"",""category"":""food"",""peopleAffected"":25,""severityLevel"":4,""resourceScarcity"":4,""hoursWaiting"":8,""latitude"":22.5273,""longitude"":88.3582,""status"":""open""},{""title"":""Structural integrity check request for Bhowanipore old homes"",""category"":""shelter"",""peopleAffected"":18,""severityLevel"":3,""resourceScarcity"":2,""hoursWaiting"":36,""latitude"":22.5358,""longitude"":88.3496,""status"":""open""},{""title"":""Acute gastroenteritis breakout reported in Garden Reach slum clusters"",""category"":""medical"",""peopleAffected"":310,""severityLevel"":5,""resourceScarcity"":5,""hoursWaiting"":2,""latitude"":22.5369,""longitude"":88.3142,""status"":""open""},{""name"":""Vikram Sen"",""skills"":""rescue"",""availability"":""anytime"",""latitude"":22.5937,""longitude"":88.4239},{""name"":""Aditi Ghosh"",""skills"":""medical"",""availability"":""weekday"",""latitude"":22.5180,""longitude"":88.3560}]"
ReliefLink Data Intake Processor,Batch update needed for Sector V tech park support systems.,"[{""title"":""Clean drinking water pipeline fracture in Sector V"",""category"":""water"",""peopleAffected"":420,""severityLevel"":4,""resourceScarcity"":5,""hoursWaiting"":10,""latitude"":22.5726,""longitude"":88.4297,""status"":""open""},{""title"":""Trapped elderly citizens in Jadavpur apartment complexes"",""category"":""rescue"",""peopleAffected"":12,""severityLevel"":5,""resourceScarcity"":4,""hoursWaiting"":1,""latitude"":22.4851,""longitude"":88.3742,""status"":""open""},{""title"":""Immediate dry ration support for workers in Tiljala"",""category"":""food"",""peopleAffected"":480,""severityLevel"":2,""resourceScarcity"":3,""hoursWaiting"":70,""latitude"":22.5348,""longitude"":88.3845,""status"":""open""},{""title"":""Dengue medication drive required in Tollygunge"",""category"":""medical"",""peopleAffected"":210,""severityLevel"":3,""resourceScarcity"":4,""hoursWaiting"":24,""latitude"":22.4938,""longitude"":88.3435,""status"":""open""},{""name"":""Rudra Saha"",""skills"":""logistics"",""availability"":""anytime"",""latitude"":22.5401,""longitude"":88.4111},{""name"":""Ipsita Pal"",""skills"":""coordination"",""availability"":""weekend"",""latitude"":22.6150,""longitude"":88.3850}]"
ReliefLink ingestion unit.,Generate a diverse set of relief records for Kolkata suburbs.,"[{""title"": ""Severe Food Shortage at Kamarhati"", ""category"": ""food"", ""peopleAffected"": 420, ""severityLevel"": 4, ""resourceScarcity"": 5, ""hoursWaiting"": 48, ""latitude"": 22.6732, ""longitude"": 88.3698, ""status"": ""open""}, {""title"": ""Medicinal Supply Urgently Required in Barrackpore"", ""category"": ""medical"", ""peopleAffected"": 15, ""severityLevel"": 5, ""resourceScarcity"": 4, ""hoursWaiting"": 10, ""latitude"": 22.7551, ""longitude"": 88.3687, ""status"": ""open""}, {""title"": ""Community Shelter Overflowing in Baranagar"", ""category"": ""shelter"", ""peopleAffected"": 300, ""severityLevel"": 4, ""resourceScarcity"": 3, ""hoursWaiting"": 24, ""latitude"": 22.6393, ""longitude"": 88.3752, ""status"": ""open""}, {""title"": ""Clean Water Blockage at New Town"", ""category"": ""water"", ""peopleAffected"": 250, ""severityLevel"": 3, ""resourceScarcity"": 4, ""hoursWaiting"": 36, ""latitude"": 22.6074, ""longitude"": 88.4654, ""status"": ""open""}, {""name"": ""Debjit Sarkar"", ""skills"": ""medical"", ""availability"": ""anytime"", ""latitude"": 22.6200, ""longitude"": 88.3500}, {""name"": ""Ankita Mondal"", ""skills"": ""rescue"", ""availability"": ""weekend"", ""latitude"": 22.7600, ""longitude"": 88.3700}, {""title"": ""High Voltage Hazard Rescue needed in Barasat"", ""category"": ""rescue"", ""peopleAffected"": 12, ""severityLevel"": 5, ""resourceScarcity"": 5, ""hoursWaiting"": 2, ""latitude"": 22.6738, ""longitude"": 88.4878, ""status"": ""open""}, {""title"": ""Elderly care medical support in Tollygunge"", ""category"": ""medical"", ""peopleAffected"": 40, ""severityLevel"": 3, ""resourceScarcity"": 2, ""hoursWaiting"": 15, ""latitude"": 22.4939, ""longitude"": 88.3470, ""status"": ""open""}, {""name"": ""Ramesh Shaw"", ""skills"": ""logistics"", ""availability"": ""weekday"", ""latitude"": 22.5800, ""longitude"": 88.4500}, {""name"": ""Sunita Rao"", ""skills"": ""food distribution"", ""availability"": ""anytime"", ""latitude"": 22.4800, ""longitude"": 88.3200}]"
ReliefLink Coordinator Engine v2.0,Provide new dataset for North Kolkata sectors.,"[{""title"":""Damaged embankment causing water supply crisis"",""category"":""water"",""peopleAffected"":140,""severityLevel"":4,""resourceScarcity"":5,""hoursWaiting"":22,""latitude"":22.6105,""longitude"":88.3752,""status"":""open""},{""title"":""Relief logistics for Baghbazar floods"",""category"":""logistics"",""peopleAffected"":450,""severityLevel"":3,""resourceScarcity"":2,""hoursWaiting"":18,""latitude"":22.6021,""longitude"":88.3615,""status"":""open""},{""name"":""Subham Ghosh"",""skills"":""medical"",""availability"":""anytime"",""latitude"":22.6085,""longitude"":88.3662}]"
ReliefLink Coordinator Engine v2.0,Provide new dataset for South Kolkata sectors.,"[{""title"":""Severe medical supply depletion"",""category"":""medical"",""peopleAffected"":85,""severityLevel"":5,""resourceScarcity"":5,""hoursWaiting"":10,""latitude"":22.4812,""longitude"":88.3695,""status"":""open""},{""title"":""Stranded residents in waterlogged Garia block"",""category"":""rescue"",""peopleAffected"":45,""severityLevel"":5,""resourceScarcity"":3,""hoursWaiting"":5,""latitude"":22.4789,""longitude"":88.3756,""status"":""open""},{""name"":""Asha Mistry"",""skills"":""rescue"",""availability"":""weekend"",""latitude"":22.4745,""longitude"":88.3811}]"
ReliefLink Coordinator Engine v2.0,Provide new dataset for Central Kolkata sectors.,"[{""title"":""Critical shortage of food packets"",""category"":""food"",""peopleAffected"":220,""severityLevel"":4,""resourceScarcity"":4,""hoursWaiting"":36,""latitude"":22.5712,""longitude"":88.3582,""status"":""open""},{""title"":""Temporary shelter for displaced vendors"",""category"":""shelter"",""peopleAffected"":60,""severityLevel"":3,""resourceScarcity"":2,""hoursWaiting"":12,""latitude"":22.5698,""longitude"":88.3621,""status"":""open""},{""name"":""Vijay Sen"",""skills"":""food distribution"",""availability"":""weekday"",""latitude"":22.5744,""longitude"":88.3601}]"
You are a ReliefLink data processor handling community reports and volunteer data.,Generate a mix of 100 community needs and 50 volunteer profiles in the Kolkata area.,"[{""title"":""Infant milk required in flood zone North Kolkata"",""category"":""food"",""peopleAffected"":25,""severityLevel"":5,""resourceScarcity"":4,""hoursWaiting"":10,""latitude"":22.6100,""longitude"":88.3800,""status"":""open""},{""title"":""Structural integrity issue - residential complex"",""category"":""rescue"",""peopleAffected"":50,""severityLevel"":5,""resourceScarcity"":3,""hoursWaiting"":2,""latitude"":22.5600,""longitude"":88.3500,""status"":""open""},{""title"":""Clean water shortage for community kitchen"",""category"":""water"",""peopleAffected"":400,""severityLevel"":3,""resourceScarcity"":5,""hoursWaiting"":36,""latitude"":22.4500,""longitude"":88.3900,""status"":""open""},{""title"":""Elderly medicine shortage"",""category"":""medical"",""peopleAffected"":15,""severityLevel"":4,""resourceScarcity"":4,""hoursWaiting"":48,""latitude"":22.5400,""longitude"":88.3300,""status"":""open""},{""title"":""Temporary shelter for families"",""category"":""shelter"",""peopleAffected"":150,""severityLevel"":4,""resourceScarcity"":2,""hoursWaiting"":72,""latitude"":22.5000,""longitude"":88.4200,""status"":""open""},{""name"":""Subham Ghosh"",""skills"":""medical"",""availability"":""anytime"",""latitude"":22.5800,""longitude"":88.3700},{""name"":""Ritika Sen"",""skills"":""logistics"",""availability"":""weekend"",""latitude"":22.6200,""longitude"":88.4100},{""name"":""Vikram Singh"",""skills"":""rescue"",""availability"":""weekday"",""latitude"":22.5500,""longitude"":88.3600},{""name"":""Ananya Bose"",""skills"":""coordination"",""availability"":""anytime"",""latitude"":22.4800,""longitude"":88.4500},{""name"":""Kunal Das"",""skills"":""food distribution"",""availability"":""weekend"",""latitude"":22.4600,""longitude"":88.3200}]"
